feature,mean_absolute_shap,rank
baby_detected_roll_mean,1.577765984205263,1
baby_count_roll_mean,0.6036317176404866,2
behavior_sudden_movement_recent_ratio,0.4092412300757132,3
behavior_normal_movement_recent_ratio,0.3752611786716287,4
behavior_low_movement_recent_ratio,0.3255384008061914,5
behavior_confidence_roll_mean,0.2901130889023937,6
yolo_confidence_roll_max,0.25233070952734643,7
behavior_confidence_roll_min,0.17864862707052712,8
movement_score_roll_max,0.12188370546808333,9
behavior_inactive_recent_ratio,0.12029945168577667,10
cry_probability_roll_min,0.08452837386800509,11
yolo_confidence,0.08276569055143228,12
movement_score_roll_std,0.08205933595674911,13
yolo_confidence_roll_mean,0.07544015033195527,14
yolo_confidence_roll_min,0.06790748821675412,15
behavior_confidence_roll_std,0.0640318683887017,16
movement_score_roll_mean,0.06084039226606754,17
bbox_height_roll_max,0.05923243085097056,18
yolo_confidence_roll_std,0.054689881125699946,19
normal_probability_roll_mean,0.054689855349882105,20
bbox_height_roll_std,0.053597562755083865,21
cry_probability_roll_mean,0.05132955480294186,22
normal_probability_roll_min,0.04989691401172812,23
cry_probability,0.04880767216001654,24
movement_score_roll_min,0.047787206725001204,25
bbox_height_roll_mean,0.04736921155433395,26
behavior_confidence_roll_max,0.047345874149198476,27
bbox_width_roll_mean,0.0460881564659316,28
audio_cry_recent_ratio,0.04594516435904162,29
noise_probability_roll_mean,0.045531396509156496,30
bbox_area_roll_std,0.044620168478577395,31
cry_probability_roll_std,0.04460656750976341,32
movement_score,0.04383000770828533,33
audio_confidence_roll_mean,0.04356382153296311,34
audio_confidence_roll_max,0.04339716636064363,35
bbox_width_roll_min,0.042069569210538504,36
bbox_width_roll_max,0.04203767312693864,37
noise_probability_roll_min,0.03801738241658313,38
cry_probability_roll_max,0.03791344811424746,39
bbox_area_roll_max,0.03789023457013952,40
bbox_height,0.03741324952100902,41
behavior_confidence,0.03733682097855698,42
bbox_area_roll_mean,0.036016184541346905,43
audio_confidence_roll_min,0.03573048767247071,44
normal_probability_roll_max,0.03474392724943755,45
baby_count_roll_std,0.034109150145600974,46
bbox_width_roll_std,0.03246591423133006,47
normal_probability,0.02924956690352701,48
yolo_confidence_change,0.026981751739915905,49
audio_confidence,0.024822998464735846,50
bbox_height_roll_min,0.024145335659027947,51
bbox_width_change,0.023328867528989577,52
noise_probability_roll_max,0.023239559968496904,53
noise_probability,0.022701298711537154,54
normal_probability_roll_std,0.022665525100289543,55
audio_normal_recent_ratio,0.022534152610226427,56
bbox_area,0.02102010502730471,57
audio_confidence_roll_std,0.02068841748714996,58
movement_score_change,0.019108795240296916,59
bbox_width,0.019016043819428886,60
noise_probability_roll_std,0.01842523593486736,61
baby_count_roll_max,0.017124894575743902,62
bbox_area_change,0.01712312889455851,63
bbox_area_roll_min,0.01390623261075234,64
behavior_confidence_change,0.0138427229014623,65
behavior_restless_movement_recent_ratio,0.01343162378769713,66
bbox_height_change,0.013052981743203417,67
audio_noise_recent_ratio,0.010987686765895757,68
empty_seat_detected_roll_mean,0.006375848487134915,69
lstm_behavior_Low_Movement,0.006279709251284658,70
normal_probability_change,0.005778209422831943,71
baby_count,0.005732275105983718,72
pose_detected_roll_mean,0.004773109080290234,73
lstm_behavior_Sudden_Movement,0.0036271989464460473,74
cry_probability_change,0.003260344044525222,75
pose_detected_roll_std,0.0032172139556964144,76
noise_probability_change,0.0030388427492601166,77
empty_seat_detected_roll_std,0.0028181927342588358,78
audio_confidence_change,0.002271641188939871,79
lstm_behavior_Inactive,0.0016345201856269602,80
baby_detected,0.0015069355843258694,81
pose_detected,0.001233928522269707,82
baby_detected_roll_std,0.0011969313565714402,83
lstm_behavior_Normal_Movement,0.0005496503128909223,84
baby_count_change,0.000491946748195135,85
empty_seat_detected_roll_max,0.00038515732313369104,86
baby_detected_change,0.00036265870604698387,87
lstm_behavior_Restless_Movement,0.0002221922414693316,88
baby_detected_roll_max,0.00014611003367463128,89
pose_detected_change,0.00012646296534122873,90
empty_seat_detected,9.552014310689369e-05,91
audio_class_Cry,9.234923463931669e-05,92
baby_count_roll_min,6.603703061305818e-05,93
audio_class_Normal,7.570310938587811e-06,94
audio_class_Noise,6.805409686551554e-06,95
empty_seat_detected_roll_min,0.0,96
pose_detected_roll_max,0.0,97
baby_detected_roll_min,0.0,98
empty_seat_detected_change,0.0,99
pose_detected_roll_min,0.0,100
empty_seat_count,0.0,101
