sample_id,detected_class,baby_detected,empty_seat_detected,baby_count,empty_seat_count,yolo_confidence,bbox_width,bbox_height,bbox_area,pose_detected,movement_score,lstm_behavior,behavior_confidence,audio_class,audio_confidence,cry_probability,noise_probability,normal_probability,filtered_baby_detected,filtered_behavior,filtered_audio,smoothed_baby_detected,smoothed_behavior,smoothed_audio,smoothed_cry_probability,inactive_streak,recent_sudden_count,risk_score,risk_label,risk_reason
11,Baby,1,0,1,0,0.88591,350,481,168350,1,0.00197411,Normal_Movement,0.793496,Normal,0.883802,0.003653,0.112544,0.883802,1,Normal_Movement,Normal,1,Normal_Movement,Normal,0.003653,0,0,1,Low_Risk,Normal movement without confirmed crying
12,Baby,1,0,1,0,0.869681,350,469,164150,1,0.00397807,Normal_Movement,0.793412,Normal,0.883802,0.003653,0.112544,0.883802,1,Normal_Movement,Normal,1,Normal_Movement,Normal,0.003653,0,0,1,Low_Risk,Normal movement without confirmed crying
13,Baby,1,0,1,0,0.865973,348,456,158688,1,0.00452552,Normal_Movement,0.793489,Normal,0.883802,0.003653,0.112544,0.883802,1,Normal_Movement,Normal,1,Normal_Movement,Normal,0.003653,0,0,1,Low_Risk,Normal movement without confirmed crying
14,Baby,1,0,1,0,0.877584,353,477,168381,1,0.00196846,Normal_Movement,0.793473,Normal,0.998644,0.000573,0.000783,0.998644,1,Normal_Movement,Normal,1,Normal_Movement,Normal,0.002883,0,0,1,Low_Risk,Normal movement without confirmed crying
15,Baby,1,0,1,0,0.880288,335,471,157785,1,0.00281886,Normal_Movement,0.793512,Normal,0.998644,0.000573,0.000783,0.998644,1,Normal_Movement,Normal,1,Normal_Movement,Normal,0.002421,0,0,1,Low_Risk,Normal movement without confirmed crying
16,Baby,1,0,1,0,0.86428,343,474,162582,1,0.00028459,Normal_Movement,0.793487,Normal,0.998644,0.000573,0.000783,0.998644,1,Normal_Movement,Normal,1,Normal_Movement,Normal,0.002113,0,0,1,Low_Risk,Normal movement without confirmed crying
17,Baby,1,0,1,0,0.855265,360,497,178920,1,0.00926925,Low_Movement,0.9,Normal,0.998644,0.000573,0.000783,0.998644,1,Low_Movement,Normal,1,Low_Movement,Normal,0.001893,0,0,2,Medium_Risk,Low movement detected
18,Baby,1,0,1,0,0.88802,345,462,159390,1,0.0010352,Low_Movement,0.9,Normal,0.912366,0.003256,0.084378,0.912366,1,Low_Movement,Normal,1,Normal_Movement,Normal,0.002063375,0,0,1,Low_Risk,Normal movement without confirmed crying
19,Baby,1,0,1,0,0.883452,330,468,154440,1,0.00748548,Low_Movement,0.9,Normal,0.912366,0.003256,0.084378,0.912366,1,Low_Movement,Normal,1,Normal_Movement,Normal,0.002195889,0,0,1,Low_Risk,Normal movement without confirmed crying
20,Baby,1,0,1,0,0.894397,347,484,167948,1,0.00169759,Low_Movement,0.9,Normal,0.912366,0.003256,0.084378,0.912366,1,Low_Movement,Normal,1,Normal_Movement,Normal,0.0023019,0,0,1,Low_Risk,Normal movement without confirmed crying
21,Baby,1,0,1,0,0.880171,341,461,157201,1,0.00368793,Low_Movement,0.9,Normal,0.912366,0.003256,0.084378,0.912366,1,Low_Movement,Normal,1,Normal_Movement,Normal,0.002388636,0,0,1,Low_Risk,Normal movement without confirmed crying
22,Baby,1,0,1,0,0.858818,331,407,134717,1,0.00444899,Low_Movement,0.9,Normal,0.936515,0.003495,0.05999,0.936515,1,Low_Movement,Normal,1,Normal_Movement,Normal,0.002480833,0,0,1,Low_Risk,Normal movement without confirmed crying
23,Baby,1,0,1,0,0.863901,334,428,142952,1,0.00217111,Low_Movement,0.9,Normal,0.936515,0.003495,0.05999,0.936515,1,Low_Movement,Normal,1,Low_Movement,Normal,0.002558846,0,0,2,Medium_Risk,Low movement detected
24,Baby,1,0,1,0,0.880629,354,456,161424,1,0.00277069,Low_Movement,0.9,Normal,0.936515,0.003495,0.05999,0.936515,1,Low_Movement,Normal,1,Low_Movement,Normal,0.002625714,0,0,2,Medium_Risk,Low movement detected
25,Baby,1,0,1,0,0.910983,307,396,121572,1,0.01384695,Low_Movement,0.9,Normal,0.936515,0.003495,0.05999,0.936515,1,Low_Movement,Normal,1,Low_Movement,Normal,0.002683667,0,0,2,Medium_Risk,Low movement detected
26,Baby,1,0,1,0,0.897833,322,417,134274,1,0.00746522,Low_Movement,0.9,Normal,0.936515,0.003495,0.05999,0.936515,1,Low_Movement,Normal,1,Low_Movement,Normal,0.002673133,0,0,2,Medium_Risk,Low movement detected
27,Baby,1,0,1,0,0.902599,334,411,137274,1,0.0011853,Low_Movement,0.9,Normal,0.998843,0.000419,0.000739,0.998843,1,Low_Movement,Normal,1,Low_Movement,Normal,0.002457533,0,0,2,Medium_Risk,Low movement detected
28,Baby,1,0,1,0,0.884972,353,422,148966,1,0.01038683,Low_Movement,0.9,Normal,0.998843,0.000419,0.000739,0.998843,1,Low_Movement,Normal,1,Low_Movement,Normal,0.002241933,0,0,2,Medium_Risk,Low movement detected
29,Baby,1,0,1,0,0.83502,302,392,118384,1,0.00666659,Low_Movement,0.9,Normal,0.998843,0.000419,0.000739,0.998843,1,Low_Movement,Normal,1,Low_Movement,Normal,0.002231667,0,0,2,Medium_Risk,Low movement detected
