sample_id,detected_class,baby_detected,empty_seat_detected,baby_count,empty_seat_count,yolo_confidence,bbox_width,bbox_height,bbox_area,pose_detected,movement_score,lstm_behavior,behavior_confidence,audio_class,audio_confidence,cry_probability,noise_probability,normal_probability,distress_detected,distress_status
1,Baby,1,0,1,0,0.878134,319,425,135575,1,0,Collecting Sequence,0,Normal,0.998007,0.000684,0.001309,0.998007,0,Normal Condition
2,Baby,1,0,1,0,0.866308,347,468,162396,1,0.01540264,Collecting Sequence,0,Normal,0.990488,0.000837,0.008675,0.990488,0,Normal Condition
3,Baby,1,0,1,0,0.866416,340,439,149260,1,0.01868419,Collecting Sequence,0,Normal,0.990488,0.000837,0.008675,0.990488,0,Normal Condition
4,Baby,1,0,1,0,0.876609,348,464,161472,1,0.01549522,Collecting Sequence,0,Normal,0.990488,0.000837,0.008675,0.990488,0,Normal Condition
5,Baby,1,0,1,0,0.876303,348,464,161472,1,0.01436139,Collecting Sequence,0,Normal,0.990488,0.000837,0.008675,0.990488,0,Normal Condition
6,Baby,1,0,1,0,0.876148,345,446,153870,1,0.00335014,Collecting Sequence,0,Normal,0.997788,0.000445,0.001766,0.997788,0,Normal Condition
7,Baby,1,0,1,0,0.875652,342,445,152190,1,0.00945795,Collecting Sequence,0,Normal,0.997788,0.000445,0.001766,0.997788,0,Normal Condition
8,Baby,1,0,1,0,0.885824,339,466,157974,1,0.01376694,Collecting Sequence,0,Normal,0.997788,0.000445,0.001766,0.997788,0,Normal Condition
9,Baby,1,0,1,0,0.879248,350,470,164500,1,0.00638176,Collecting Sequence,0,Normal,0.997788,0.000445,0.001766,0.997788,0,Normal Condition
10,Baby,1,0,1,0,0.875813,344,447,153768,1,0.00396457,Collecting Sequence,0,Normal,0.997788,0.000445,0.001766,0.997788,0,Normal Condition
11,Baby,1,0,1,0,0.88591,350,481,168350,1,0.00197411,Normal_Movement,0.793496,Normal,0.883802,0.003653,0.112544,0.883802,0,Normal Condition
12,Baby,1,0,1,0,0.869681,350,469,164150,1,0.00397807,Normal_Movement,0.793412,Normal,0.883802,0.003653,0.112544,0.883802,0,Normal Condition
13,Baby,1,0,1,0,0.865973,348,456,158688,1,0.00452552,Normal_Movement,0.793489,Normal,0.883802,0.003653,0.112544,0.883802,0,Normal Condition
14,Baby,1,0,1,0,0.877584,353,477,168381,1,0.00196846,Normal_Movement,0.793473,Normal,0.998644,0.000573,0.000783,0.998644,0,Normal Condition
15,Baby,1,0,1,0,0.880288,335,471,157785,1,0.00281886,Normal_Movement,0.793512,Normal,0.998644,0.000573,0.000783,0.998644,0,Normal Condition
16,Baby,1,0,1,0,0.86428,343,474,162582,1,0.00028459,Normal_Movement,0.793487,Normal,0.998644,0.000573,0.000783,0.998644,0,Normal Condition
17,Baby,1,0,1,0,0.855265,360,497,178920,1,0.00926925,Low_Movement,0.9,Normal,0.998644,0.000573,0.000783,0.998644,0,Low Movement Condition
18,Baby,1,0,1,0,0.88802,345,462,159390,1,0.0010352,Low_Movement,0.9,Normal,0.912366,0.003256,0.084378,0.912366,0,Low Movement Condition
19,Baby,1,0,1,0,0.883452,330,468,154440,1,0.00748548,Low_Movement,0.9,Normal,0.912366,0.003256,0.084378,0.912366,0,Low Movement Condition
20,Baby,1,0,1,0,0.894397,347,484,167948,1,0.00169759,Low_Movement,0.9,Normal,0.912366,0.003256,0.084378,0.912366,0,Low Movement Condition
21,Baby,1,0,1,0,0.880171,341,461,157201,1,0.00368793,Low_Movement,0.9,Normal,0.912366,0.003256,0.084378,0.912366,0,Low Movement Condition
22,Baby,1,0,1,0,0.858818,331,407,134717,1,0.00444899,Low_Movement,0.9,Normal,0.936515,0.003495,0.05999,0.936515,0,Low Movement Condition
23,Baby,1,0,1,0,0.863901,334,428,142952,1,0.00217111,Low_Movement,0.9,Normal,0.936515,0.003495,0.05999,0.936515,0,Low Movement Condition
24,Baby,1,0,1,0,0.880629,354,456,161424,1,0.00277069,Low_Movement,0.9,Normal,0.936515,0.003495,0.05999,0.936515,0,Low Movement Condition
25,Baby,1,0,1,0,0.910983,307,396,121572,1,0.01384695,Low_Movement,0.9,Normal,0.936515,0.003495,0.05999,0.936515,0,Low Movement Condition
26,Baby,1,0,1,0,0.897833,322,417,134274,1,0.00746522,Low_Movement,0.9,Normal,0.936515,0.003495,0.05999,0.936515,0,Low Movement Condition
27,Baby,1,0,1,0,0.902599,334,411,137274,1,0.0011853,Low_Movement,0.9,Normal,0.998843,0.000419,0.000739,0.998843,0,Low Movement Condition
28,Baby,1,0,1,0,0.884972,353,422,148966,1,0.01038683,Low_Movement,0.9,Normal,0.998843,0.000419,0.000739,0.998843,0,Low Movement Condition
29,Baby,1,0,1,0,0.83502,302,392,118384,1,0.00666659,Low_Movement,0.9,Normal,0.998843,0.000419,0.000739,0.998843,0,Low Movement Condition
30,Baby,1,0,1,0,0.721248,339,399,135261,1,0.00606862,Low_Movement,0.9,Normal,0.998843,0.000419,0.000739,0.998843,0,Low Movement Condition
31,Baby,1,0,1,0,0.801675,301,360,108360,1,0.00272209,Normal_Movement,0.792968,Normal,0.998819,0.000415,0.000766,0.998819,0,Normal Condition
32,Baby,1,0,1,0,0.769718,383,389,148987,1,0.0310692,Sudden_Movement,0.95,Normal,0.998819,0.000415,0.000766,0.998819,0,Sudden Movement
33,Baby,1,0,1,0,0.732649,330,369,121770,1,0.04433224,Sudden_Movement,0.95,Normal,0.998819,0.000415,0.000766,0.998819,0,Sudden Movement
34,None,0,0,0,0,0,0,0,0,1,0.00979598,Sudden_Movement,0.95,Normal,0.998819,0.000415,0.000766,0.998819,0,No Baby Detected
35,Baby,1,0,1,0,0.852259,347,422,146434,1,0.05944214,Sudden_Movement,0.95,Normal,0.999378,0.000262,0.00036,0.999378,0,Sudden Movement
36,Baby,1,0,1,0,0.531275,423,479,202617,1,0.01184221,Sudden_Movement,0.95,Normal,0.999378,0.000262,0.00036,0.999378,0,Sudden Movement
37,Baby,1,0,1,0,0.875279,309,382,118038,1,0.00926159,Sudden_Movement,0.95,Normal,0.999378,0.000262,0.00036,0.999378,0,Sudden Movement
38,Baby,1,0,1,0,0.786099,294,368,108192,1,0.04140138,Sudden_Movement,0.95,Normal,0.999378,0.000262,0.00036,0.999378,0,Sudden Movement
39,Baby,1,0,1,0,0.76917,298,355,105790,1,0.01357729,Sudden_Movement,0.95,Normal,0.999378,0.000262,0.00036,0.999378,0,Sudden Movement
40,Baby,1,0,1,0,0.78721,289,366,105774,1,0.0065701,Sudden_Movement,0.95,Normal,0.999378,0.000262,0.00036,0.999378,0,Sudden Movement
41,Baby,1,0,1,0,0.876149,294,368,108192,1,0.00270846,Sudden_Movement,0.95,Normal,0.915417,0.002917,0.081667,0.915417,0,Sudden Movement
42,Baby,1,0,1,0,0.863585,307,405,124335,1,0.00367732,Sudden_Movement,0.95,Normal,0.915417,0.002917,0.081667,0.915417,0,Sudden Movement
43,Baby,1,0,1,0,0.861882,298,389,115922,1,0.00409868,Sudden_Movement,0.95,Normal,0.915417,0.002917,0.081667,0.915417,0,Sudden Movement
44,Baby,1,0,1,0,0.838746,300,388,116400,1,0.00242618,Sudden_Movement,0.95,Normal,0.915417,0.002917,0.081667,0.915417,0,Sudden Movement
45,Baby,1,0,1,0,0.880869,303,371,112413,1,0.00985782,Sudden_Movement,0.95,Normal,0.99733,0.000826,0.001843,0.99733,0,Sudden Movement
46,Baby,1,0,1,0,0.882851,301,377,113477,1,0.00603421,Sudden_Movement,0.95,Normal,0.99733,0.000826,0.001843,0.99733,0,Sudden Movement
47,Baby,1,0,1,0,0.865164,301,372,111972,1,0.00186144,Sudden_Movement,0.95,Normal,0.99733,0.000826,0.001843,0.99733,0,Sudden Movement
48,Baby,1,0,1,0,0.873504,300,387,116100,1,0.01181142,Low_Movement,0.9,Normal,0.99733,0.000826,0.001843,0.99733,0,Low Movement Condition
49,Baby,1,0,1,0,0.858065,297,370,109890,1,0.00241452,Low_Movement,0.9,Normal,0.99733,0.000826,0.001843,0.99733,0,Low Movement Condition
50,Baby,1,0,1,0,0.817386,294,371,109074,1,0.00803621,Low_Movement,0.9,Noise,0.992794,0.003147,0.992794,0.004058,0,Low Movement Condition
51,Baby,1,0,1,0,0.852032,310,392,121520,1,0.00066594,Low_Movement,0.9,Noise,0.992794,0.003147,0.992794,0.004058,0,Low Movement Condition
52,Baby,1,0,1,0,0.798261,314,382,119948,1,0.00175684,Low_Movement,0.9,Noise,0.992794,0.003147,0.992794,0.004058,0,Low Movement Condition
53,Baby,1,0,1,0,0.829824,305,388,118340,1,0.00042544,Low_Movement,0.9,Noise,0.992794,0.003147,0.992794,0.004058,0,Low Movement Condition
54,Baby,1,0,1,0,0.867543,304,378,114912,1,0.00283158,Low_Movement,0.9,Noise,0.992794,0.003147,0.992794,0.004058,0,Low Movement Condition
55,Baby,1,0,1,0,0.867238,299,388,116012,1,0.00260808,Low_Movement,0.9,Noise,0.930893,0.068203,0.930893,0.000904,0,Low Movement Condition
56,Baby,1,0,1,0,0.816485,311,370,115070,1,0.00379622,Low_Movement,0.9,Noise,0.930893,0.068203,0.930893,0.000904,0,Low Movement Condition
57,Baby,1,0,1,0,0.789723,331,344,113864,1,0.00670101,Low_Movement,0.9,Noise,0.930893,0.068203,0.930893,0.000904,0,Low Movement Condition
58,Baby,1,0,1,0,0.849954,322,367,118174,1,0.01449008,Normal_Movement,0.792909,Noise,0.930893,0.068203,0.930893,0.000904,0,Normal Condition
59,Baby,1,0,1,0,0.853271,303,369,111807,1,0.00400831,Normal_Movement,0.7928,Noise,0.930893,0.068203,0.930893,0.000904,0,Normal Condition
60,Baby,1,0,1,0,0.860432,297,386,114642,1,0.00591977,Normal_Movement,0.793138,Normal,0.499104,0.009791,0.491105,0.499104,0,Normal Condition
61,Baby,1,0,1,0,0.861901,311,382,118802,1,0.00613563,Normal_Movement,0.793296,Normal,0.499104,0.009791,0.491105,0.499104,0,Normal Condition
62,Baby,1,0,1,0,0.830074,307,380,116660,1,0.01519992,Normal_Movement,0.793336,Normal,0.499104,0.009791,0.491105,0.499104,0,Normal Condition
63,Baby,1,0,1,0,0.853491,307,381,116967,1,0.00179665,Normal_Movement,0.793252,Normal,0.499104,0.009791,0.491105,0.499104,0,Normal Condition
64,Baby,1,0,1,0,0.853583,311,384,119424,1,0.00318393,Normal_Movement,0.793401,Cry,0.671568,0.671568,0.322535,0.005897,1,Crying with Normal Movement
65,Baby,1,0,1,0,0.856051,302,388,117176,1,0.00169924,Normal_Movement,0.793454,Cry,0.671568,0.671568,0.322535,0.005897,1,Crying with Normal Movement
66,Baby,1,0,1,0,0.830743,311,367,114137,1,0.00109845,Low_Movement,0.9,Cry,0.671568,0.671568,0.322535,0.005897,1,Possible Distress
67,Baby,1,0,1,0,0.808055,327,386,126222,1,0.05062305,Sudden_Movement,0.95,Cry,0.671568,0.671568,0.322535,0.005897,1,High Distress
