sample_id,audio_class,confidence,sound_level,decision_method,baby_cry_probability,noise_probability,normal_probability
1,Normal,1,0.001157,RMS Threshold,0,0,1
2,Normal,1,0.001171,RMS Threshold,0,0,1
3,Noise,0.99982,0.009922,AST Model,8.30E-05,0.99982,9.70E-05
4,Noise,0.999064,0.021845,AST Model,0.000423,0.999064,0.000513
5,Noise,0.999663,0.035453,AST Model,0.000219,0.999663,0.000118
6,Normal,1,0.001855,RMS Threshold,0,0,1
7,Baby_Cry,0.998521,0.106518,AST Model,0.998521,0.001382,9.70E-05
8,Baby_Cry,0.998675,0.026886,AST Model,0.998675,0.001215,0.00011
9,Noise,0.998892,0.026989,AST Model,0.000625,0.998892,0.000484
10,Baby_Cry,0.988649,0.049312,AST Model,0.988649,0.01107,0.000281
11,Baby_Cry,0.995792,0.026112,AST Model,0.995792,0.004099,0.000108
12,Noise,0.976856,0.046244,AST Model,0.021586,0.976856,0.001558
13,Noise,0.999774,0.028935,AST Model,0.000177,0.999774,4.80E-05
14,Noise,0.999747,0.04276,AST Model,0.000196,0.999747,5.70E-05
15,Noise,0.990257,0.081175,AST Model,0.00945,0.990257,0.000293
16,Normal,1,0.002094,RMS Threshold,0,0,1
17,Noise,0.994199,0.033368,AST Model,0.005602,0.994199,0.000199
18,Noise,0.98903,0.079856,AST Model,0.010305,0.98903,0.000665
19,Normal,1,0.002643,RMS Threshold,0,0,1
20,Normal,1,0.00252,RMS Threshold,0,0,1
21,Normal,1,0.002683,RMS Threshold,0,0,1
22,Normal,1,0.003606,RMS Threshold,0,0,1
23,Normal,1,0.004297,RMS Threshold,0,0,1
24,Normal,1,0.002855,RMS Threshold,0,0,1
25,Normal,1,0.003137,RMS Threshold,0,0,1
26,Normal,1,0.002745,RMS Threshold,0,0,1
27,Normal,1,0.002782,RMS Threshold,0,0,1
28,Normal,1,0.002753,RMS Threshold,0,0,1
29,Noise,0.998068,0.029957,AST Model,0.001647,0.998068,0.000285
30,Baby_Cry,0.548949,0.046689,AST Model,0.548949,0.450517,0.000533
31,Normal,1,0.003831,RMS Threshold,0,0,1
32,Normal,1,0.003545,RMS Threshold,0,0,1
33,Normal,1,0.00284,RMS Threshold,0,0,1
34,Noise,0.968979,0.020348,AST Model,0.030337,0.968979,0.000683
35,Normal,1,0.006697,RMS Threshold,0,0,1
36,Noise,0.779939,0.03804,AST Model,0.218945,0.779939,0.001117
37,Baby_Cry,0.997923,0.023684,AST Model,0.997923,0.001929,0.000148
38,Normal,1,0.006598,RMS Threshold,0,0,1
39,Baby_Cry,0.948561,0.012798,AST Model,0.948561,0.051047,0.000392
40,Baby_Cry,0.78774,0.101631,AST Model,0.78774,0.211921,0.000339
41,Baby_Cry,0.998212,0.033349,AST Model,0.998212,0.001687,0.000101
42,Baby_Cry,0.991508,0.030109,AST Model,0.991508,0.008287,0.000204
43,Baby_Cry,0.852242,0.06413,AST Model,0.852242,0.146303,0.001455
44,Noise,0.99672,0.015891,AST Model,0.001072,0.99672,0.002208
45,Noise,0.997892,0.023948,AST Model,0.002016,0.997892,9.20E-05
46,Baby_Cry,0.977537,0.056554,AST Model,0.977537,0.022028,0.000435
47,Baby_Cry,0.999165,0.03534,AST Model,0.999165,0.000772,6.40E-05
48,Baby_Cry,0.971466,0.135747,AST Model,0.971466,0.028352,0.000183
49,Noise,0.960652,0.021612,AST Model,0.038559,0.960652,0.000789
50,Noise,0.900169,0.011623,AST Model,0.099147,0.900169,0.000684
51,Normal,1,0.003847,RMS Threshold,0,0,1
52,Baby_Cry,0.995115,0.012295,AST Model,0.995115,0.004791,9.40E-05
53,Baby_Cry,0.998559,0.12961,AST Model,0.998559,0.001339,0.000101
54,Baby_Cry,0.997481,0.043208,AST Model,0.997481,0.002457,6.20E-05
55,Baby_Cry,0.894486,0.106653,AST Model,0.894486,0.104327,0.001188
56,Baby_Cry,0.995994,0.076272,AST Model,0.995994,0.003807,0.000199
57,Normal,1,0.00285,RMS Threshold,0,0,1
58,Normal,1,0.003969,RMS Threshold,0,0,1
59,Normal,1,0.002905,RMS Threshold,0,0,1
60,Normal,1,0.003748,RMS Threshold,0,0,1
61,Normal,1,0.003001,RMS Threshold,0,0,1
62,Normal,1,0.002472,RMS Threshold,0,0,1
63,Normal,1,0.002469,RMS Threshold,0,0,1
64,Noise,0.979709,0.036208,AST Model,0.007223,0.979709,0.013068
65,Noise,0.998087,0.032068,AST Model,0.000861,0.998087,0.001052
66,Noise,0.99758,0.026885,AST Model,0.001534,0.99758,0.000886
67,Normal,1,0.004036,RMS Threshold,0,0,1
68,Baby_Cry,0.99678,0.108838,AST Model,0.99678,0.002732,0.000488
69,Baby_Cry,0.998267,0.138601,AST Model,0.998267,0.001625,0.000108
70,Noise,0.99837,0.031226,AST Model,0.000353,0.99837,0.001277
71,Noise,0.999822,0.04658,AST Model,6.70E-05,0.999822,0.000111
72,Noise,0.805604,0.102698,AST Model,0.171262,0.805604,0.023134
73,Noise,0.934903,0.088286,AST Model,0.058392,0.934903,0.006705
74,Noise,0.928201,0.105353,AST Model,0.069308,0.928201,0.002491
75,Normal,1,0.005952,RMS Threshold,0,0,1
76,Normal,1,0.003112,RMS Threshold,0,0,1
77,Noise,0.998267,0.015062,AST Model,0.001232,0.998267,0.000501
78,Noise,0.995859,0.044073,AST Model,0.002564,0.995859,0.001577
79,Normal,1,0.003043,RMS Threshold,0,0,1
80,Noise,0.992252,0.03275,AST Model,0.003849,0.992252,0.003899
81,Noise,0.998537,0.069785,AST Model,0.001244,0.998537,0.000219
82,Noise,0.999076,0.023215,AST Model,0.000444,0.999076,0.00048
83,Normal,1,0.003556,RMS Threshold,0,0,1
84,Baby_Cry,0.999453,0.147813,AST Model,0.999453,0.000386,0.000161
85,Baby_Cry,0.636337,0.057562,AST Model,0.636337,0.363423,0.00024
86,Noise,0.966523,0.06196,AST Model,0.02996,0.966523,0.003516
87,Noise,0.996032,0.024713,AST Model,0.003644,0.996032,0.000325
88,Noise,0.999209,0.113338,AST Model,0.000271,0.999209,0.00052
89,Noise,0.999133,0.111567,AST Model,0.000299,0.999133,0.000568
90,Noise,0.994341,0.01424,AST Model,0.004153,0.994341,0.001505
91,Noise,0.982759,0.043588,AST Model,0.015813,0.982759,0.001428
92,Noise,0.999261,0.030824,AST Model,0.000626,0.999261,0.000112
93,Noise,0.999811,0.037551,AST Model,5.90E-05,0.999811,0.00013
94,Noise,0.999535,0.018498,AST Model,0.000371,0.999535,9.40E-05
95,Noise,0.997753,0.063631,AST Model,0.002147,0.997753,0.000101
96,Normal,1,0.001318,RMS Threshold,0,0,1
97,Normal,1,0.003115,RMS Threshold,0,0,1
98,Noise,0.999615,0.044207,AST Model,8.40E-05,0.999615,0.000302
99,Noise,0.99956,0.027602,AST Model,8.90E-05,0.99956,0.000351
100,Normal,1,0.000816,RMS Threshold,0,0,1
101,Normal,1,0.005762,RMS Threshold,0,0,1
102,Noise,0.993501,0.08497,AST Model,0.004952,0.993501,0.001547
103,Normal,1,0.003886,RMS Threshold,0,0,1
104,Noise,0.999421,0.048214,AST Model,0.0003,0.999421,0.000279
105,Noise,0.999428,0.044194,AST Model,0.000255,0.999428,0.000316
106,Noise,0.920678,0.022693,AST Model,0.066992,0.920678,0.012329
107,Noise,0.998683,0.012842,AST Model,0.001114,0.998683,0.000203
108,Noise,0.910259,0.012271,AST Model,0.087316,0.910259,0.002425
109,Noise,0.999396,0.019836,AST Model,0.000169,0.999396,0.000435
110,Normal,1,0.007354,RMS Threshold,0,0,1
111,Noise,0.999748,0.03808,AST Model,0.000181,0.999748,7.20E-05
112,Noise,0.998976,0.017827,AST Model,0.000433,0.998976,0.000591
113,Noise,0.996498,0.016243,AST Model,0.000862,0.996498,0.002641
114,Noise,0.998305,0.032481,AST Model,0.000433,0.998305,0.001262
115,Noise,0.992607,0.016903,AST Model,0.006307,0.992607,0.001087
116,Normal,1,0.007542,RMS Threshold,0,0,1
117,Normal,1,0.00384,RMS Threshold,0,0,1
118,Noise,0.992037,0.071788,AST Model,0.007731,0.992037,0.000232
119,Noise,0.999523,0.062114,AST Model,0.000231,0.999523,0.000246
120,Noise,0.995454,0.048268,AST Model,0.004033,0.995454,0.000512
121,Noise,0.999774,0.031809,AST Model,7.10E-05,0.999774,0.000156
122,Noise,0.999191,0.087146,AST Model,0.000603,0.999191,0.000206
123,Noise,0.998812,0.080613,AST Model,0.001013,0.998812,0.000175
124,Noise,0.998067,0.114924,AST Model,0.001008,0.998067,0.000925
125,Noise,0.996961,0.083239,AST Model,0.002239,0.996961,0.000799
126,Noise,0.999055,0.066397,AST Model,0.000537,0.999055,0.000408
127,Noise,0.582465,0.058524,AST Model,0.415389,0.582465,0.002146
