sample_id,pose_detected,movement_score,lstm_behavior,behavior_confidence,Inactive_probability,Low_Movement_probability,Normal_Movement_probability,Restless_Movement_probability,Sudden_Movement_probability
1,0,0,No_Pose,0,0,0,0,0,0
2,0,0,No_Pose,0,0,0,0,0,0
3,0,0,No_Pose,0,0,0,0,0,0
4,1,0,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
5,1,0.177791961,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
6,1,0.095767622,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
7,1,0.173387033,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
8,1,0.187849833,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
9,0,0,No_Pose,0,0,0,0,0,0
10,1,0,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
11,1,0.122669323,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
12,1,0.032723638,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
13,1,0.048406633,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
14,1,0.039479205,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
15,1,0.064658078,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
16,1,0.028374133,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
17,1,0.037269961,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
18,1,0.049580029,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
19,1,0.049442206,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
20,1,0.063072631,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
21,1,0.03481376,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
22,1,0.043890219,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
23,1,0.020397002,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
24,1,0.065968064,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
25,1,0.020191643,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
26,1,0.035778394,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
27,1,0.052884874,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
28,1,0.059605139,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
29,1,0.014028271,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
30,1,0.02841103,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
31,1,0.031628228,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
32,1,0.023492124,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
33,1,0.030715764,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
34,1,0.024404847,Inactive,0.62460798,0.62460798,0.033899002,0.315126002,0.007308,0.019060001
35,1,0.074932064,Inactive,0.610228002,0.610228002,0.034908,0.320903987,0.00972,0.02424
36,1,0.1823921,Inactive,0.577706993,0.577706993,0.036015,0.341401011,0.012985,0.031893
37,1,0.083362951,Inactive,0.575001001,0.575001001,0.036995001,0.34039101,0.013772,0.033840999
38,1,0.080688216,Inactive,0.566883981,0.566883981,0.037427999,0.344927996,0.014514,0.036246002
39,1,0.11475049,Inactive,0.576738,0.576738,0.037345,0.337758988,0.013834,0.034322999
40,1,0.125713434,Inactive,0.580846012,0.580846012,0.037202001,0.335334986,0.013488,0.033130001
41,1,0.039006529,Inactive,0.587246001,0.587246001,0.037152998,0.331117988,0.012977,0.031505998
42,1,0.024355051,Inactive,0.593774974,0.593774974,0.036543999,0.327977002,0.012254,0.029449999
43,1,0.008375596,Inactive,0.603798985,0.603798985,0.036035001,0.32159099,0.011385,0.027189
44,1,0.026694311,Inactive,0.608138025,0.608138025,0.035475001,0.319606006,0.010844,0.025938001
45,1,0.259140215,Inactive,0.575998008,0.575998008,0.034038998,0.345950991,0.01297,0.031042
46,1,0.161909696,Inactive,0.578324974,0.578324974,0.034169,0.344054997,0.012691,0.030761
47,1,0.024083735,Inactive,0.584402025,0.584402025,0.035052001,0.339094013,0.01202,0.029432001
48,1,0.079964052,Inactive,0.574331999,0.574331999,0.035372,0.347490996,0.012114,0.030689999
49,1,0.043462509,Inactive,0.577033997,0.577033997,0.03593,0.344882011,0.011689,0.030464999
50,1,0.032292268,Inactive,0.580775976,0.580775976,0.036582001,0.34128201,0.011291,0.030068999
51,1,0.037882806,Inactive,0.585813999,0.585813999,0.037211999,0.33662799,0.010787,0.029557999
52,1,0.065747468,Inactive,0.588576972,0.588576972,0.037179001,0.335227013,0.01021,0.028806999
53,1,0.038424012,Inactive,0.594384015,0.594384015,0.036935002,0.333157003,0.009044,0.026481001
54,1,0.023481345,Inactive,0.599849999,0.599849999,0.036759999,0.330339998,0.008279,0.024770999
55,1,0.011463119,Inactive,0.608328998,0.608328998,0.036125999,0.326000005,0.007218,0.022327
