sample_id,true_behavior,lstm_behavior,behavior_confidence,Inactive_probability,Low_Movement_probability,Normal_Movement_probability,Restless_Movement_probability,Sudden_Movement_probability
34,Normal_Movement,Inactive,0.6007588,0.6007588,0.04341625,0.33335453,0.0048020566,0.017668374
49,Normal_Movement,Inactive,0.5458676,0.5458676,0.034229424,0.39621094,0.005491213,0.018200766
54,Normal_Movement,Inactive,0.60928196,0.60928196,0.03520514,0.33421955,0.004938974,0.01635433
59,Normal_Movement,Inactive,0.64469457,0.64469457,0.032944713,0.302331,0.004512211,0.015517503
69,Normal_Movement,Inactive,0.5991477,0.5991477,0.033044405,0.33583492,0.007657137,0.024315866
79,Normal_Movement,Inactive,0.669515,0.669515,0.034604214,0.27801743,0.004076554,0.013786833
84,Normal_Movement,Inactive,0.68565637,0.68565637,0.03567418,0.26611936,0.002808969,0.009741085
94,Normal_Movement,Inactive,0.6937715,0.6937715,0.03574686,0.25962248,0.0024247745,0.008434374
104,Inactive,Inactive,0.7046533,0.7046533,0.035914022,0.24942145,0.002221472,0.0077897944
149,Normal_Movement,Normal_Movement,0.44673464,0.20717508,0.03614877,0.44673464,0.053016655,0.25692484
289,Sudden_Movement,Sudden_Movement,0.43944445,0.006060329,0.0049326452,0.3058522,0.2437103,0.43944445
304,Restless_Movement,Normal_Movement,0.5046262,0.0040781004,0.010273119,0.5046262,0.4125747,0.06844797
329,Normal_Movement,Normal_Movement,0.6193642,0.008491934,0.009318636,0.6193642,0.18117867,0.18164654
374,Restless_Movement,Restless_Movement,0.8495458,0.00202545,0.0029911324,0.08154712,0.8495458,0.06389053
389,Normal_Movement,Restless_Movement,0.83543134,0.0020893184,0.0028977215,0.10536699,0.83543134,0.05421461
404,Restless_Movement,Restless_Movement,0.6222072,0.0036566167,0.006962624,0.33252102,0.6222072,0.034652527
419,Normal_Movement,Normal_Movement,0.8784394,0.0010461847,0.0045146015,0.8784394,0.11009409,0.0059057344
449,Normal_Movement,Normal_Movement,0.87317675,0.0024671608,0.006941769,0.87317675,0.09854618,0.018868111
504,Restless_Movement,Restless_Movement,0.6249802,0.0032962565,0.00690394,0.26602876,0.6249802,0.09879089
519,Restless_Movement,Restless_Movement,0.8033671,0.0026926135,0.0033415211,0.099905305,0.8033671,0.09069348
529,Restless_Movement,Normal_Movement,0.99588096,0.00033537147,0.0022502474,0.99588096,0.0013651142,0.00016840281
549,Sudden_Movement,Normal_Movement,0.9971727,0.0002811516,0.0015188863,0.9971727,0.0004852456,0.0005418848
564,Sudden_Movement,Sudden_Movement,0.85278904,0.0005119423,0.00042258512,0.03162762,0.11464876,0.85278904
614,Sudden_Movement,Sudden_Movement,0.86735696,0.0009294999,0.00074317097,0.044921387,0.08604901,0.86735696
624,Normal_Movement,Sudden_Movement,0.8327085,0.0025774967,0.0018673337,0.0641827,0.09866405,0.8327085
644,Sudden_Movement,Sudden_Movement,0.81376386,0.0011491565,0.000810529,0.047396265,0.13688017,0.81376386
654,Restless_Movement,Sudden_Movement,0.7836712,0.0011223961,0.0007166289,0.05704559,0.15744418,0.7836712
664,Restless_Movement,Sudden_Movement,0.7537443,0.0018523531,0.0010878306,0.068147115,0.17516848,0.7537443
694,Normal_Movement,Restless_Movement,0.8216763,0.0023133107,0.0037925087,0.07326844,0.8216763,0.09894943
709,Normal_Movement,Normal_Movement,0.979957,0.00046487307,0.0012952707,0.979957,0.01643858,0.0018442651
734,Normal_Movement,Normal_Movement,0.9987577,0.00021255013,0.00080934085,0.9987577,0.00014976264,7.0635804e-05
754,Sudden_Movement,Sudden_Movement,0.8258031,0.0015612683,0.0015251933,0.11377704,0.057333294,0.8258031
764,Sudden_Movement,Sudden_Movement,0.89501387,0.00064409536,0.0004623075,0.059394732,0.04448496,0.89501387
784,Normal_Movement,Normal_Movement,0.98553,0.00038838442,0.005216617,0.98553,0.005025369,0.0038396455
814,Normal_Movement,Normal_Movement,0.9986449,4.4781496e-05,0.0010080982,0.9986449,0.00013785595,0.00016439971
824,Normal_Movement,Normal_Movement,0.9988865,3.7813643e-05,0.00082587666,0.9988865,0.00012810528,0.00012160047
854,Normal_Movement,Normal_Movement,0.9991504,5.295194e-05,0.0007531205,0.9991504,2.2749602e-05,2.077892e-05
869,Normal_Movement,Normal_Movement,0.99948597,5.2714728e-05,0.00037933077,0.99948597,4.2275075e-05,3.9644092e-05
909,Normal_Movement,Normal_Movement,0.9992224,6.08163e-05,0.0006711261,0.9992224,2.6370915e-05,1.927914e-05
924,Normal_Movement,Normal_Movement,0.99860686,0.00010881887,0.0012158515,0.99860686,3.5524063e-05,3.2942928e-05
929,Normal_Movement,Normal_Movement,0.99805874,0.00013494308,0.0017249627,0.99805874,3.9405473e-05,4.2012045e-05
944,Normal_Movement,Normal_Movement,0.99870753,0.000109363165,0.0011244311,0.99870753,3.468467e-05,2.398242e-05
954,Normal_Movement,Normal_Movement,0.9985178,0.00010986565,0.0013211583,0.9985178,2.81154e-05,2.3107235e-05
999,Normal_Movement,Normal_Movement,0.9979596,0.00015463894,0.0018157086,0.9979596,2.9835775e-05,4.0220322e-05
1014,Normal_Movement,Normal_Movement,0.99813014,0.00012544644,0.0016846994,0.99813014,2.4873585e-05,3.4770295e-05
1024,Normal_Movement,Normal_Movement,0.99816555,0.00012858617,0.0016454046,0.99816555,2.65242e-05,3.4013177e-05
1034,Normal_Movement,Normal_Movement,0.998298,0.00012712071,0.0015224396,0.998298,2.4079638e-05,2.8461853e-05
1044,Normal_Movement,Normal_Movement,0.9984326,0.00010734277,0.0014110899,0.9984326,2.4296873e-05,2.4626874e-05
1064,Normal_Movement,Normal_Movement,0.9991429,4.8656497e-05,0.0007373632,0.9991429,3.7249953e-05,3.381783e-05
1069,Normal_Movement,Normal_Movement,0.99917597,4.8140828e-05,0.000715065,0.99917597,3.1973123e-05,2.8794162e-05
1109,Normal_Movement,Normal_Movement,0.7709483,0.0026174716,0.0062702578,0.7709483,0.058852512,0.1613115
1114,Sudden_Movement,Normal_Movement,0.48851922,0.003921426,0.0037443244,0.48851922,0.15374704,0.35006797
1119,Normal_Movement,Normal_Movement,0.9888969,0.001003384,0.0031893344,0.9888969,0.0027157085,0.0041946783
1134,Normal_Movement,Normal_Movement,0.8874461,0.0060544563,0.086922705,0.8874461,0.008253735,0.011323016
1144,Normal_Movement,Low_Movement,0.6408004,0.10586162,0.6408004,0.2319958,0.012994283,0.00834791
1169,Low_Movement,Low_Movement,0.6760341,0.14307532,0.6760341,0.16720273,0.0059972913,0.007690599
1179,Low_Movement,Low_Movement,0.57342625,0.15746532,0.57342625,0.25235257,0.006773671,0.009982154
1219,Inactive,Low_Movement,0.5436932,0.20906371,0.5436932,0.23790875,0.0037532272,0.0055812
1234,Low_Movement,Low_Movement,0.5355708,0.22030899,0.5355708,0.23501553,0.0037559997,0.0053487048
1249,Inactive,Low_Movement,0.5201285,0.24441752,0.5201285,0.2271537,0.0036160096,0.0046843356
1279,Inactive,Low_Movement,0.43606687,0.2047164,0.43606687,0.34473592,0.0065299803,0.007950786
1284,Inactive,Low_Movement,0.5685088,0.1844221,0.5685088,0.227123,0.011213589,0.008732478
1329,Normal_Movement,Normal_Movement,0.9623462,0.005630497,0.030692207,0.9623462,0.00059567206,0.00073544844
1334,Normal_Movement,Normal_Movement,0.7005744,0.11885072,0.17352107,0.7005744,0.0034087144,0.0036451106
1364,Inactive,Inactive,0.962733,0.962733,0.027538858,0.009640307,4.5850094e-05,4.200657e-05
1379,Normal_Movement,Normal_Movement,0.50189817,0.024776302,0.4477638,0.50189817,0.01715838,0.008403365
1389,Normal_Movement,Normal_Movement,0.941247,0.004528195,0.035767697,0.941247,0.0072942735,0.011162782
1399,Normal_Movement,Normal_Movement,0.96213824,0.0026193915,0.031556237,0.96213824,0.0013763789,0.0023097503
1469,Normal_Movement,Normal_Movement,0.99836224,0.00011983259,0.001461701,0.99836224,2.5887774e-05,3.0329937e-05
1494,Inactive,Low_Movement,0.46353894,0.09074331,0.46353894,0.43849754,0.003686265,0.0035339105
1524,Inactive,Normal_Movement,0.39270487,0.2927952,0.30749303,0.39270487,0.0022741393,0.0047327345
1579,Normal_Movement,Normal_Movement,0.42373976,0.24438609,0.3248625,0.42373976,0.0023647188,0.004646934
1599,Inactive,Inactive,0.6493346,0.6493346,0.20854206,0.13899869,0.0011104853,0.0020142158
1634,Normal_Movement,Normal_Movement,0.9868945,0.002343559,0.010097293,0.9868945,0.00027973833,0.0003849654
1739,Normal_Movement,Normal_Movement,0.9957585,0.00030804367,0.0038032006,0.9957585,6.491701e-05,6.542348e-05
1749,Normal_Movement,Normal_Movement,0.97256225,0.0012611946,0.025754202,0.97256225,0.000231797,0.00019053249
1759,Normal_Movement,Normal_Movement,0.9671815,0.0012883589,0.030970724,0.9671815,0.00032002377,0.00023927791
1784,Normal_Movement,Normal_Movement,0.77008927,0.043060865,0.16355108,0.77008927,0.0125770755,0.010721664
1824,Inactive,Normal_Movement,0.4827355,0.37187266,0.14241932,0.4827355,0.00089008687,0.0020823218
1874,Inactive,Normal_Movement,0.52469754,0.2731442,0.19880643,0.52469754,0.00088329404,0.002468476
1904,Inactive,Normal_Movement,0.43846136,0.3827224,0.17567132,0.43846136,0.00083912443,0.0023057358
1914,Low_Movement,Inactive,0.42923096,0.42923096,0.38526914,0.1793594,0.002095074,0.0040454357
1929,Low_Movement,Low_Movement,0.39172456,0.38833916,0.39172456,0.21320769,0.0021330267,0.0045955754
1939,Inactive,Normal_Movement,0.3670574,0.28681645,0.3402087,0.3670574,0.0017299582,0.0041875164
1944,Inactive,Normal_Movement,0.44406348,0.21085902,0.3403532,0.44406348,0.001222391,0.0035019135
1979,Normal_Movement,Normal_Movement,0.94461006,0.019454896,0.031898797,0.94461006,0.0010059028,0.0030303788
1989,Inactive,Inactive,0.4330749,0.4330749,0.20621312,0.35505867,0.0017574434,0.0038958564
2029,Normal_Movement,Normal_Movement,0.62620986,0.008646237,0.02689404,0.62620986,0.059780892,0.278469
2039,Normal_Movement,Normal_Movement,0.7530043,0.028137833,0.10339864,0.7530043,0.03397695,0.08148221
2074,Normal_Movement,Normal_Movement,0.99756193,0.00012447922,0.0020670642,0.99756193,8.055146e-05,0.00016588061
2089,Sudden_Movement,Sudden_Movement,0.830837,0.0008307502,0.0008894477,0.10398852,0.06345423,0.830837
2109,Normal_Movement,Sudden_Movement,0.62193847,0.0016071585,0.003071528,0.26148525,0.11189764,0.62193847
2114,Normal_Movement,Normal_Movement,0.7972367,0.0013794074,0.0074717663,0.7972367,0.065664746,0.12824738
2134,Normal_Movement,Normal_Movement,0.9965676,0.00014796904,0.002165887,0.9965676,0.00043558818,0.0006828786
2149,Normal_Movement,Normal_Movement,0.9914757,0.00020277938,0.004593348,0.9914757,0.0018612272,0.001866965
2164,Normal_Movement,Normal_Movement,0.9746122,0.000497307,0.0062642293,0.9746122,0.006216785,0.012409386
2184,Normal_Movement,Normal_Movement,0.8681629,0.0008125756,0.006348992,0.8681629,0.056163087,0.068512514
2189,Normal_Movement,Normal_Movement,0.87033445,0.0011575164,0.008235108,0.87033445,0.0593847,0.06088822
2214,Normal_Movement,Normal_Movement,0.94537336,0.0005387522,0.0036575613,0.94537336,0.027244894,0.023185417
2294,Inactive,Low_Movement,0.7466182,0.17852037,0.7466182,0.06859935,0.0031024297,0.003159629
2359,Normal_Movement,Normal_Movement,0.90299743,0.0020696414,0.09436848,0.90299743,0.00022027217,0.00034410387
2369,Normal_Movement,Normal_Movement,0.9865891,0.00015556079,0.0022206963,0.9865891,0.0069819633,0.0040526986
2414,Normal_Movement,Normal_Movement,0.99861825,0.00015514692,0.00069499965,0.99861825,0.00041432562,0.00011722837
2449,Normal_Movement,Normal_Movement,0.9982729,0.0001772025,0.00088025833,0.9982729,0.00050377706,0.00016590577
2509,Normal_Movement,Normal_Movement,0.9928087,0.0008603862,0.0048765866,0.9928087,0.0010171761,0.0004371525
2544,Normal_Movement,Restless_Movement,0.7398178,0.0010465066,0.0021695208,0.10811524,0.7398178,0.14885092
2605,Sudden_Movement,Sudden_Movement,0.89479154,0.0005879191,0.0005714753,0.042891204,0.061157797,0.89479154
2620,Sudden_Movement,Sudden_Movement,0.6593439,0.0019154936,0.0017626481,0.04667628,0.29030174,0.6593439
2660,Normal_Movement,Normal_Movement,0.9990951,4.7812002e-05,0.00079429836,0.9990951,2.9760566e-05,3.307639e-05
2665,Normal_Movement,Normal_Movement,0.99926525,2.6734566e-05,0.0006204398,0.99926525,4.0956296e-05,4.6615023e-05
2715,Normal_Movement,Normal_Movement,0.97922784,0.00024569465,0.0045498707,0.97922784,0.006061969,0.009914683
2725,Normal_Movement,Normal_Movement,0.96123815,0.00033173402,0.0058512976,0.96123815,0.0121190725,0.02045975
2740,Normal_Movement,Restless_Movement,0.769213,0.0011028103,0.0023716914,0.07022818,0.769213,0.1570843
2750,Restless_Movement,Restless_Movement,0.6754924,0.0015118986,0.0028322674,0.06707537,0.6754924,0.25308806
2755,Restless_Movement,Restless_Movement,0.7573953,0.0031879519,0.005712607,0.08047418,0.7573953,0.15322985
2770,Normal_Movement,Normal_Movement,0.5972711,0.0018476848,0.0065796375,0.5972711,0.12138257,0.27291906
