epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.425,1.72007,4.16948,1.75513,0.0031,0.90769,0.62713,0.28993,1.49663,5.46673,1.70399,0.00046412,0.00046412,0.00046412
2,564.553,1.69484,2.99458,1.58569,0.96872,0.23718,0.60729,0.2548,1.74738,4.42867,1.77472,0.000921832,0.000921832,0.000921832
3,813.993,1.7485,3.07574,1.70561,0.57078,0.72179,0.62618,0.30498,1.82016,4.28955,1.81905,0.00136068,0.00136068,0.00136068
4,1054.36,1.69596,2.68893,1.69147,0.59172,0.7209,0.69443,0.31792,1.75491,3.99569,1.84556,0.00134412,0.00134412,0.00134412
5,1302.9,1.69758,2.39689,1.68536,0.88264,0.62355,0.91693,0.44995,1.50411,3.96756,1.59507,0.00131582,0.00131582,0.00131582
6,1539.87,1.58961,2.25993,1.60658,0.70743,0.83349,0.71835,0.38461,1.56267,3.68632,1.69055,0.00128753,0.00128753,0.00128753
7,1774.94,1.62198,2.0868,1.64442,0.71302,0.503,0.50932,0.2043,1.92732,4.31795,2.04947,0.00125923,0.00125923,0.00125923
8,2010.16,1.64883,1.89039,1.61837,0.72079,0.88846,0.86794,0.42465,1.43919,2.23891,1.54948,0.00123094,0.00123094,0.00123094
9,2245.52,1.59515,1.84794,1.58942,0.81969,0.87645,0.87384,0.43847,1.50361,2.16236,1.58501,0.00120265,0.00120265,0.00120265
10,2482.96,1.61001,1.70262,1.58074,0.86969,0.92692,0.95345,0.50201,1.4752,1.98548,1.59699,0.00117435,0.00117435,0.00117435
11,2719.02,1.64123,1.76489,1.65449,0.93828,0.91092,0.94348,0.44419,1.49903,1.77809,1.69521,0.00114606,0.00114606,0.00114606
12,2956.1,1.53512,1.59316,1.57108,0.83417,0.96051,0.98561,0.46111,1.43411,1.72985,1.63377,0.00111776,0.00111776,0.00111776
13,3194.47,1.57256,1.49115,1.56671,0.78419,0.92051,0.93309,0.50327,1.46635,1.64293,1.60124,0.00108947,0.00108947,0.00108947
14,3430.3,1.57146,1.52621,1.58341,0.87808,0.97055,0.9781,0.51534,1.37526,1.54066,1.64674,0.00106118,0.00106118,0.00106118
15,3665.67,1.57764,1.454,1.59016,0.97281,0.90186,0.95699,0.46642,1.58187,1.43152,1.73679,0.00103288,0.00103288,0.00103288
16,3900.07,1.48103,1.36291,1.5342,0.83733,0.87533,0.92198,0.50936,1.4045,1.42818,1.61991,0.00100459,0.00100459,0.00100459
17,4135.05,1.51142,1.29522,1.55591,0.75459,0.91898,0.94112,0.5109,1.35762,1.4377,1.59753,0.000976293,0.000976293,0.000976293
18,4370.43,1.54512,1.26478,1.59134,0.85598,0.92692,0.93998,0.55699,1.29526,1.25211,1.49831,0.000947999,0.000947999,0.000947999
19,4605.51,1.49526,1.21513,1.53404,0.86758,0.90505,0.97173,0.52864,1.2594,1.12307,1.49865,0.000919704,0.000919704,0.000919704
20,4841.05,1.44488,1.12396,1.50638,0.93682,0.90176,0.96351,0.49585,1.34523,1.12367,1.57369,0.00089141,0.00089141,0.00089141
21,5076.16,1.44519,1.13716,1.51207,0.96377,0.90745,0.95772,0.55548,1.33134,1.08308,1.55564,0.000863116,0.000863116,0.000863116
22,5311.08,1.39293,1.06132,1.4826,0.79683,0.89638,0.88539,0.49218,1.32991,1.00873,1.55577,0.000834822,0.000834822,0.000834822
23,5547,1.55306,1.10408,1.53124,0.90979,0.99023,0.97775,0.53027,1.52503,1.02576,1.67907,0.000806528,0.000806528,0.000806528
24,5781.49,1.44959,1.0358,1.50452,0.92649,0.92692,0.97236,0.5247,1.3321,1.10779,1.52118,0.000778233,0.000778233,0.000778233
25,6016.4,1.39203,1.00742,1.47134,0.87981,0.92051,0.97196,0.55677,1.32991,1.0289,1.49989,0.000749939,0.000749939,0.000749939
26,6250.94,1.38553,1.028,1.47212,0.91579,0.97379,0.98545,0.54452,1.29151,0.94948,1.50357,0.000721645,0.000721645,0.000721645
27,6486.38,1.38925,0.9715,1.47178,0.77479,0.98718,0.9206,0.54632,1.22908,0.93207,1.48468,0.000693351,0.000693351,0.000693351
28,6721.28,1.37899,0.97722,1.44996,0.97038,0.99359,0.9901,0.51755,1.2626,0.9179,1.52191,0.000665057,0.000665057,0.000665057
29,6970.59,1.35443,0.94549,1.46803,0.95306,0.99359,0.99048,0.52948,1.23078,0.86002,1.52654,0.000636762,0.000636762,0.000636762
30,7215.83,1.37877,0.93776,1.4646,0.93446,0.99359,0.98738,0.54178,1.20697,0.88373,1.47969,0.000608468,0.000608468,0.000608468
31,7450.41,1.38869,0.94787,1.48419,0.97514,0.99359,0.98958,0.55063,1.23536,0.84833,1.48363,0.000580174,0.000580174,0.000580174
32,7684.76,1.35292,0.9382,1.44267,0.96632,0.99359,0.99027,0.58899,1.17951,0.82876,1.4481,0.00055188,0.00055188,0.00055188
33,7918.77,1.36047,0.96559,1.44647,0.96998,0.99335,0.99173,0.55005,1.16875,0.82708,1.45386,0.000523586,0.000523586,0.000523586
34,8153.31,1.34617,0.89212,1.42674,0.97124,0.99359,0.9897,0.54205,1.17078,0.765,1.46306,0.000495291,0.000495291,0.000495291
35,8388.84,1.36571,0.93034,1.44649,0.966,0.99359,0.98793,0.57263,1.14343,0.78516,1.41359,0.000466997,0.000466997,0.000466997
36,8623.33,1.27758,0.86647,1.38605,0.96605,0.99359,0.99036,0.5943,1.17151,0.77661,1.42904,0.000438703,0.000438703,0.000438703
37,8860.64,1.27873,0.82905,1.3801,0.96338,0.99359,0.99014,0.60904,1.12242,0.73637,1.39687,0.000410409,0.000410409,0.000410409
38,9101,1.25383,0.80905,1.39188,0.97457,0.99359,0.98938,0.59565,1.15794,0.73883,1.43105,0.000382115,0.000382115,0.000382115
39,9336.56,1.2202,0.82542,1.37404,0.96993,0.99359,0.9894,0.59117,1.13479,0.75483,1.40953,0.00035382,0.00035382,0.00035382
40,9612.96,1.29692,0.82262,1.41347,0.97305,0.99359,0.98947,0.59148,1.20375,0.72918,1.42762,0.000325526,0.000325526,0.000325526
41,9848.25,1.21693,0.75292,1.42075,0.9729,0.99359,0.99141,0.61964,1.06805,0.73026,1.36339,0.000297232,0.000297232,0.000297232
42,10081.5,1.19423,0.73258,1.39662,0.97074,0.99359,0.99039,0.61391,1.14744,0.72047,1.40408,0.000268938,0.000268938,0.000268938
43,10314.3,1.16573,0.70827,1.38514,0.97701,0.99359,0.99132,0.62612,1.03535,0.68015,1.34348,0.000240644,0.000240644,0.000240644
44,10554,1.15812,0.69554,1.36636,0.97608,0.99359,0.99187,0.64853,1.09725,0.67623,1.36876,0.000212349,0.000212349,0.000212349
45,10787.7,1.13031,0.6896,1.35436,0.97416,0.99359,0.99138,0.63913,1.01453,0.65711,1.33016,0.000184055,0.000184055,0.000184055
46,11019.7,1.15074,0.66596,1.36479,0.97936,0.99359,0.99047,0.64249,1.04024,0.64289,1.34245,0.000155761,0.000155761,0.000155761
47,11251.9,1.105,0.67167,1.34029,0.98181,0.99359,0.99139,0.65332,1.02332,0.64698,1.32913,0.000127467,0.000127467,0.000127467
48,11483.9,1.09536,0.66601,1.33574,0.98307,0.99359,0.99193,0.65469,0.99413,0.64995,1.31169,9.91726e-05,9.91726e-05,9.91726e-05
49,11717.4,1.11322,0.66125,1.3523,0.98215,0.99359,0.99231,0.6573,0.97324,0.6344,1.30115,7.08784e-05,7.08784e-05,7.08784e-05
50,11949.3,1.08744,0.64686,1.31848,0.98043,0.99359,0.99218,0.66071,0.97897,0.63201,1.3011,4.25842e-05,4.25842e-05,4.25842e-05
