epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate
1,0.337129807,0.827868852,0.01559179,1,2.00E-05
2,0.040076673,0.975409836,0.001361075,1,2.00E-05
3,0.034222608,0.991803279,0.000805097,1,2.00E-05
4,0.00027118,1,0.007686784,1,2.00E-05
5,0.063875371,0.983606557,0.001180313,1,2.00E-05
6,0.021019313,0.983606557,0.048571359,0.967741935,1.00E-05
7,0.018555662,0.991803279,0.102188107,0.967741935,1.00E-05
8,0.000411358,1,0.006343892,1,1.00E-05
9,7.79E-05,1,0.001716688,1,5.00E-06
10,0.000583226,1,0.001398717,1,5.00E-06
