sample_id,detected_class,baby_detected,empty_seat_detected,baby_count,confidence,bbox_width,bbox_height,bbox_area
1,baby,1,0,1,0.8997,390.83,407.26,159172.64
2,baby,1,0,1,0.9215,377.11,428.53,161600.15
3,baby,1,0,1,0.8129,345.05,381.33,131577.22
4,baby,1,0,1,0.7439,127.74,451.93,57730.32
5,none,0,0,0,0,0,0,0
6,none,0,0,0,0,0,0,0
7,none,0,0,0,0,0,0,0
8,baby,1,0,1,0.7108,119.81,444.46,53249.41
9,baby,1,0,1,0.7455,125.63,473.51,59485.34
10,baby,1,0,1,0.717,239.95,322.77,77448.94
11,baby,1,0,1,0.6834,239.35,242.43,58025.77
12,baby,1,0,1,0.7791,290.24,282.7,82052.96
13,baby,1,0,1,0.8379,284.96,319.26,90976.88
14,baby,1,0,1,0.7133,108.31,489.73,53042.13
15,none,0,0,0,0,0,0,0
16,none,0,0,0,0,0,0,0
17,baby,1,0,1,0.9164,239.88,461.66,110741.27
18,baby,1,0,1,0.9047,247.4,454.01,112321.38
19,baby,1,0,1,0.9187,293.29,436.63,128062.22
20,baby,1,0,1,0.8864,267.16,438.58,117168.31
21,baby,1,0,1,0.8861,190.69,499.89,95325.59
22,baby,1,0,1,0.7629,238.92,701.28,167546.74
23,baby,1,0,1,0.707,219.52,514.94,113038.85
24,baby,1,0,2,0.7087,206.08,537.24,110715.41
25,baby,1,0,2,0.81,116.04,371.14,43065.79
26,baby,1,0,1,0.6908,203.82,568.89,115949.32
27,baby,1,0,1,0.6412,207.49,541.77,112412.36
28,none,0,0,0,0,0,0,0
29,baby,1,0,1,0.6734,206.8,561.19,116051.72
30,none,0,0,0,0,0,0,0
31,none,0,0,0,0,0,0,0
32,baby,1,0,1,0.7004,365.61,540.51,197616.36
33,baby,1,0,1,0.8026,235.92,430.5,101564.49
34,baby,1,0,1,0.8617,321.69,309.12,99441.04
35,baby,1,0,1,0.8675,234.28,381.43,89360.82
36,baby,1,1,1,0.8213,256.14,364.65,93401.74
37,baby,1,0,1,0.8607,279.48,375.82,105033.97
38,none,0,0,0,0,0,0,0
39,none,0,0,0,0,0,0,0
40,baby,1,0,1,0.7964,123.85,361.78,44806.19
41,baby,1,0,1,0.8004,127.97,362.75,46422.1
42,baby,1,0,1,0.794,147.31,369.34,54407.54
43,baby,1,1,1,0.7891,170.73,345.02,58906.87
44,baby,1,1,1,0.6626,194.36,349.28,67884.94
45,baby,1,1,1,0.7715,221.6,398.14,88227.01
46,baby,1,1,1,0.9124,293.03,362.5,106222.23
47,baby,1,0,1,0.8012,246.67,371,91514.13
48,baby,1,0,1,0.807,114.72,353.37,40538.64
49,baby,1,0,1,0.7866,260.47,308.06,80242.26
50,baby,1,0,1,0.8689,197.42,256.44,50626.14
51,baby,1,0,1,0.8649,187.33,238.26,44634.02
52,baby,1,0,2,0.82,174.75,222.77,38928.96
53,baby,1,0,2,0.811,172.91,217.36,37584.65
54,baby,1,0,2,0.8309,172.97,225.09,38933.57
55,baby,1,0,2,0.872,170.1,223.43,38004.87
56,baby,1,0,2,0.8589,170.17,226.24,38499.55
57,baby,1,0,1,0.8351,170.8,224.21,38294.44
58,baby,1,0,1,0.8363,172.61,225.54,38931.33
59,baby,1,0,1,0.8366,171.73,227.57,39080.93
60,baby,1,0,1,0.8499,172.25,225.63,38866.04
61,baby,1,0,1,0.8436,175.11,225.88,39553.8
62,baby,1,0,1,0.845,172.26,226.31,38984.58
63,baby,1,0,1,0.8524,173.21,228.02,39494.9
64,baby,1,0,1,0.869,187.57,232.95,43694.27
65,baby,1,0,1,0.8632,174.93,224.71,39308.38
66,baby,1,0,2,0.8518,174.44,222.85,38874.69
67,baby,1,0,1,0.8335,176.12,226.01,39805.86
68,baby,1,0,1,0.8705,177.42,229.06,40640.99
69,baby,1,0,1,0.8828,177.78,227.03,40361.44
70,baby,1,0,1,0.88,175.16,225.58,39512.53
71,baby,1,0,1,0.878,176.57,227.36,40146.34
72,baby,1,0,1,0.8821,173.55,226.5,39308.28
73,baby,1,0,1,0.8826,173.37,228.04,39535.67
74,baby,1,0,1,0.8644,173.98,228.31,39720.93
75,baby,1,0,1,0.8731,174.33,228.07,39759.86
